Accident year,Accident severity,Region,Ons code,Speed limit,Light condition,Weather condition,Road surface,Accidents
2018,Fatal,North East,E12000001,1-20 mph,Daylight,Fine no high winds,Dry,1
2018,Fatal,North East,E12000001,21-30 mph,Daylight,Fine no high winds,Dry,8
2018,Fatal,North East,E12000001,21-30 mph,Daylight,Fine no high winds,Wet or damp,2
2018,Fatal,North East,E12000001,21-30 mph,Daylight,Raining no high winds,Wet or damp,1
2018,Fatal,North East,E12000001,21-30 mph,Daylight,Fine + high winds,Dry,1
2018,Fatal,North East,E12000001,21-30 mph,Darkness - lights lit,Fine no high winds,Dry,5
2018,Fatal,North East,E12000001,21-30 mph,Darkness - lights lit,Fine no high winds,Wet or damp,5
2018,Fatal,North East,E12000001,21-30 mph,Darkness - lights lit,Raining no high winds,Wet or damp,1
2018,Fatal,North East,E12000001,21-30 mph,Darkness - lighting unknown,Fine no high winds,Frost or ice,1
2018,Fatal,North East,E12000001,31-40 mph,Daylight,Fine no high winds,Dry,1
2018,Fatal,North East,E12000001,31-40 mph,Darkness - lights lit,Fine no high winds,Dry,2
2018,Fatal,North East,E12000001,41-50 mph,Daylight,Fine no high winds,Dry,1
2018,Fatal,North East,E12000001,51-60 mph,Daylight,Fine no high winds,Dry,7
2018,Fatal,North East,E12000001,51-60 mph,Daylight,Fine no high winds,Wet or damp,1
2018,Fatal,North East,E12000001,51-60 mph,Daylight,Raining no high winds,Wet or damp,1
2018,Fatal,North East,E12000001,51-60 mph,Darkness - no lighting,Fine no high winds,Dry,5
2018,Fatal,North East,E12000001,51-60 mph,Darkness - no lighting,Fine no high winds,Wet or damp,1
2018,Fatal,North East,E12000001,51-60 mph,Darkness - no lighting,Raining no high winds,Wet or damp,1
2018,Fatal,North East,E12000001,61-70 mph,Daylight,Fine no high winds,Dry,2
2018,Fatal,North East,E12000001,61-70 mph,Daylight,Snowing no high winds,Wet or damp,1
2018,Fatal,North East,E12000001,61-70 mph,Darkness - lights lit,Fine no high winds,Wet or damp,1
2018,Fatal,North East,E12000001,61-70 mph,Darkness - no lighting,Fine no high winds,Dry,2
2018,Fatal,North West,E12000002,1-20 mph,Daylight,Fine no high winds,Dry,8
2018,Fatal,North West,E12000002,1-20 mph,Daylight,Raining no high winds,Wet or damp,1
2018,Fatal,North West,E12000002,1-20 mph,Darkness - lights lit,Fine no high winds,Dry,1
2018,Fatal,North West,E12000002,21-30 mph,Daylight,Fine no high winds,Dry,36
2018,Fatal,North West,E12000002,21-30 mph,Daylight,Fine no high winds,Wet or damp,5
2018,Fatal,North West,E12000002,21-30 mph,Daylight,Raining no high winds,Wet or damp,6
2018,Fatal,North West,E12000002,21-30 mph,Darkness - lights lit,Fine no high winds,Dry,16
2018,Fatal,North West,E12000002,21-30 mph,Darkness - lights lit,Fine no high winds,Wet or damp,7
2018,Fatal,North West,E12000002,21-30 mph,Darkness - lights lit,Raining no high winds,Wet or damp,5
2018,Fatal,North West,E12000002,21-30 mph,Darkness - lights lit,Snowing no high winds,Dry,1
2018,Fatal,North West,E12000002,21-30 mph,Darkness - lights lit,Fine + high winds,Dry,1
2018,Fatal,North West,E12000002,21-30 mph,Darkness - lights lit,Raining + high winds,Wet or damp,3
2018,Fatal,North West,E12000002,21-30 mph,Darkness - lights lit,Fog or mist,Dry,1
2018,Fatal,North West,E12000002,21-30 mph,Darkness - lights lit,Other,Wet or damp,1
2018,Fatal,North West,E12000002,21-30 mph,Darkness - lights unlit,Fine no high winds,Dry,1
2018,Fatal,North West,E12000002,21-30 mph,Darkness - no lighting,Fine no high winds,Dry,1
2018,Fatal,North West,E12000002,21-30 mph,Darkness - lighting unknown,Fine no high winds,Dry,2
2018,Fatal,North West,E12000002,31-40 mph,Daylight,Fine no high winds,Dry,11
2018,Fatal,North West,E12000002,31-40 mph,Daylight,Fine no high winds,Wet or damp,3
2018,Fatal,North West,E12000002,31-40 mph,Darkness - lights lit,Unknown,Wet or damp,1
